StateUS,Response
CA,146467
FL,100372
TX,85790
NY,70536
GA,53298
IL,40271
NJ,40180
PA,36283
VA,31653
OH,31581
NC,31443
MD,31395
MI,25409
AZ,22828
WA,20898
MA,19358
CO,17401
TN,16969
SC,14912
MO,14338
NV,12885
,12642
LA,12028
CT,11973
IN,11970
AL,11651
MN,11370
OR,11342
WI,11005
KY,7503
OK,6809
UT,5911
DC,5807
MS,5606
DE,5214
KS,5169
NM,4792
AR,4773
IA,4288
NH,4255
HI,3286
ID,3282
ME,3153
NE,3122
RI,3122
PR,2671
WV,2579
MT,1683
VT,1505
SD,1373
AK,1179
ND,1013
WY,934
AE,424
AP,293
VI,212
GU,161
FM,74
MP,31
MH,30
AS,27
AA,18
UNITED STATES MINOR OUTLYING ISLANDS,15
PW,13
