StateUS,monetary_relief
,880
AE,25
AK,82
AL,500
AP,20
AR,233
AZ,1437
CA,8588
CO,1161
CT,1021
DC,459
DE,363
FL,5369
FM,6
GA,2355
GU,4
HI,182
IA,257
ID,216
IL,2435
IN,665
KS,310
KY,405
LA,498
MA,1672
MD,1807
ME,266
MH,1
MI,1485
MN,845
MO,751
MP,1
MS,234
MT,113
NC,1691
ND,57
NE,228
NH,268
NJ,2831
NM,267
NV,681
NY,5395
OH,2229
OK,375
OR,832
PA,2612
PR,130
RI,310
SC,645
SD,102
TN,854
TX,4055
UT,316
VA,1849
VI,15
VT,168
WA,1274
WI,835
WV,172
WY,54
